"year","operatingcarrier","flown_flights"
"2009","9E","241444"
"2010","9E","261364"
"2013","9E","296701"
"2018","9E","245917"
"2019","9E","257246"
"2020","9E","117852"
"2023","9E","150454"
"2009","AA","505921"
"2010","AA","540963"
"2011","AA","490930"
"2012","AA","525220"
"2013","AA","537891"
"2014","AA","537697"
"2015","AA","725984"
"2016","AA","914495"
"2017","AA","896348"
"2018","AA","916818"
"2019","AA","946776"
"2020","AA","985037"
"2021","AA","1674371"
"2022","AA","1759257"
"2023","AA","707372"
"2009","AS","125882"
"2010","AS","136950"
"2011","AS","130395"
"2012","AS","147569"
"2013","AS","154743"
"2014","AS","160257"
"2015","AS","172521"
"2016","AS","177280"
"2017","AS","185067"
"2018","AS","245761"
"2019","AS","264817"
"2020","AS","204443"
"2021","AS","359458"
"2022","AS","382544"
"2023","AS","186383"
"2019","AX","76000"
"2009","B6","179613"
"2010","B6","201434"
"2011","B6","196421"
"2012","B6","229056"
"2013","B6","241777"
"2014","B6","249693"
"2015","B6","267048"
"2016","B6","282473"
"2017","B6","298654"
"2018","B6","305010"
"2019","B6","297411"
"2020","B6","144163"
"2021","B6","202702"
"2022","B6","273058"
"2023","B6","210107"
"2019","C5","58052"
"2020","C5","15901"
"2023","C5","53205"
"2009","CO","237209"
"2010","CO","239271"
"2011","CO","223716"
"2019","CP","94209"
"2009","DL","391348"
"2010","DL","732973"
"2011","DL","665434"
"2012","DL","726879"
"2013","DL","754670"
"2014","DL","800375"
"2015","DL","875881"
"2016","DL","922746"
"2017","DL","923560"
"2018","DL","949282"
"2019","DL","991986"
"2020","DL","825910"
"2021","DL","1357322"
"2022","DL","1448920"
"2023","DL","738244"
"2019","EM","8833"
"2020","EM","2089"
"2009","EV","275921"
"2010","EV","319921"
"2011","EV","297825"
"2012","EV","740855"
"2013","EV","748696"
"2014","EV","686021"
"2015","EV","571977"
"2016","EV","490990"
"2017","EV","339541"
"2018","EV","202890"
"2019","EV","134277"
"2020","EV","8486"
"2009","F9","79769"
"2010","F9","81966"
"2011","F9","77255"
"2012","F9","79255"
"2013","F9","75612"
"2014","F9","85474"
"2015","F9","90836"
"2016","F9","95121"
"2017","F9","103026"
"2018","F9","120032"
"2019","F9","135543"
"2020","F9","91175"
"2021","F9","137142"
"2022","F9","155482"
"2023","F9","128670"
"2009","FL","230531"
"2010","FL","248844"
"2011","FL","226038"
"2012","FL","218162"
"2013","FL","173952"
"2014","FL","79495"
"2018","G4","96221"
"2019","G4","105305"
"2020","G4","98489"
"2021","G4","115881"
"2022","G4","116877"
"2023","G4","87476"
"2019","G7","79063"
"2020","G7","17477"
"2023","G7","33108"
"2009","HA","66844"
"2010","HA","67649"
"2011","HA","60764"
"2012","HA","74109"
"2013","HA","72286"
"2014","HA","74732"
"2015","HA","76272"
"2016","HA","76789"
"2017","HA","80172"
"2018","HA","83723"
"2019","HA","83891"
"2020","HA","43415"
"2021","HA","60654"
"2022","HA","73865"
"2023","HA","60729"
"2019","KS","1474"
"2009","MQ","398884"
"2010","MQ","436976"
"2011","MQ","408892"
"2012","MQ","473140"
"2013","MQ","439865"
"2014","MQ","392701"
"2015","MQ","294632"
"2018","MQ","296001"
"2019","MQ","327084"
"2020","MQ","99160"
"2023","MQ","167133"
"2015","NK","117379"
"2016","NK","138199"
"2017","NK","156818"
"2018","NK","176178"
"2019","NK","204845"
"2020","NK","135102"
"2021","NK","191361"
"2022","NK","232400"
"2023","NK","194830"
"2009","NW","270460"
"2009","OH","140288"
"2010","OH","147633"
"2018","OH","278457"
"2019","OH","288989"
"2020","OH","84025"
"2023","OH","145127"
"2009","OO","501049"
"2010","OO","599620"
"2011","OO","534290"
"2012","OO","617756"
"2013","OO","626359"
"2014","OO","613030"
"2015","OO","588353"
"2016","OO","605933"
"2017","OO","706526"
"2018","OO","774135"
"2019","OO","836755"
"2020","OO","292993"
"2023","OO","502219"
"2019","PT","123054"
"2020","PT","26272"
"2023","PT","73850"
"2019","QX","121897"
"2020","QX","52344"
"2023","QX","50648"
"2009","UA","346412"
"2010","UA","343081"
"2011","UA","282156"
"2012","UA","531245"
"2013","UA","505798"
"2014","UA","493528"
"2015","UA","515723"
"2016","UA","545067"
"2017","UA","584481"
"2018","UA","621565"
"2019","UA","625910"
"2020","UA","626911"
"2021","UA","1148340"
"2022","UA","1263956"
"2023","UA","548575"
"2009","US","379479"
"2010","US","407111"
"2011","US","373726"
"2012","US","404263"
"2013","US","412373"
"2014","US","414665"
"2015","US","198715"
"2012","VX","54742"
"2013","VX","57133"
"2014","VX","57510"
"2015","VX","61903"
"2016","VX","69121"
"2017","VX","70981"
"2018","VX","17670"
"2009","WN","1039178"
"2010","WN","1124487"
"2011","WN","1053343"
"2012","WN","1140535"
"2013","WN","1130704"
"2014","WN","1174633"
"2015","WN","1261855"
"2016","WN","1299444"
"2017","WN","1329444"
"2018","WN","1352552"
"2019","WN","1363946"
"2020","WN","961276"
"2021","WN","1064640"
"2022","WN","1307149"
"2023","WN","1059603"
"2009","XE","284964"
"2010","XE","385077"
"2011","XE","374773"
"2009","YV","223290"
"2010","YV","174797"
"2011","YV","142104"
"2012","YV","133976"
"2013","YV","140922"
"2018","YV","215137"
"2019","YV","227831"
"2020","YV","62040"
"2023","YV","66307"
"2018","YX","316089"
"2019","YX","329596"
"2020","YX","106112"
"2023","YX","228303"
"2019","ZW","106894"
"2020","ZW","21725"
"2023","ZW","44826"
