"year","amount_of_events","airportcode"
"2016","2786","EHY"
"2016","2351","HYW"
"2016","2342","M40"
"2016","2234","3TH"
"2016","2201","JXI"
"2016","2171","MLP"
"2016","1932","0CO"
"2016","1889","RRL"
"2016","1865","BKD"
"2016","1772","TCM"
"2016","1749","S47"
"2016","1744","MZZ"
"2016","1716","TMK"
"2016","1710","ONP"
"2016","1701","JNW"
"2016","1606","GRF"
"2016","1590","BOK"
"2016","1586","ARW"
"2016","1574","SMP"
"2016","1560","BAC"
"2016","1543","UIL"
"2016","1521","HQM"
"2016","1478","CPW"
"2016","1460","GTB"
"2016","1442","POV"
"2016","1418","TWM"
"2016","1390","SHN"
"2016","1389","MYP"
"2016","1352","CEC"
"2016","1321","HST"
"2016","1303","AST"
"2016","1294","SXT"
"2016","1293","HAF"
"2016","1260","AWM"
"2016","1255","FTK"
"2016","1229","SRC"
"2016","1229","SKA"
"2016","1226","SLK"
"2016","1224","NFJ"
"2016","1215","HSP"
"2016","1209","ONX"
"2016","1205","RDR"
"2016","1202","OKM"
"2016","1202","INF"
"2016","1192","06D"
"2016","1183","HRT"
"2016","1183","PQI"
"2016","1181","FBG"
"2016","1176","PLU"
"2016","1175","TDO"
"2016","1175","MUI"
"2016","1171","TNB"
"2016","1171","LFI"
"2016","1167","PEX"
"2016","1161","ACV"
"2016","1160","CLS"
"2016","1160","HOP"
"2016","1159","TDR"
"2016","1157","PGV"
"2016","1154","D25"
"2016","1149","LWB"
"2016","1144","2DP"
"2016","1141","1P1"
"2016","1137","MDS"
"2016","1134","M16"
"2016","1126","JFZ"
"2016","1125","BFD"
"2016","1116","ERY"
"2016","1110","CAR"
"2016","1109","BLU"
"2016","1106","WRI"
"2016","1104","3T5"
"2016","1095","6R3"
"2016","1085","FVE"
"2016","1080","EKA"
"2016","1079","CCU"
"2016","1078","D60"
"2016","1077","EVM"
"2016","1071","ELZ"
"2016","1067","OLM"
"2016","1063","EKN"
"2016","1058","K22"
"2016","1054","DUJ"
"2016","1050","XVW"
"2016","1047","DNK"
"2016","1039","PAM"
"2016","1038","MYL"
"2016","1037","LNL"
"2016","1034","FAF"
"2016","1033","ORG"
"2016","1032","JST"
"2016","1029","MPV"
"2016","1028","ANJ"
"2016","1028","ARV"
