"year","month","origin","sum"
"2016","1","ABE","1719"
"2016","1","ABQ","8354"
"2016","1","ABR","704"
"2016","1","ABY","379"
"2016","1","ACT","-248"
"2016","1","ACV","1669"
"2016","1","ACY","2808"
"2016","1","ADK","65"
"2016","1","ADQ","-365"
"2016","1","AEX","615"
"2016","1","AGS","1896"
"2016","1","ALB","4370"
"2016","1","AMA","877"
"2016","1","ANC","-3619"
"2016","1","APN","1607"
"2016","1","ASE","6425"
"2016","1","ATL","221615"
"2016","1","ATW","1538"
"2016","1","AUS","15797"
"2016","1","AVL","3071"
"2016","1","AVP","383"
"2016","1","AZO","708"
"2016","1","BDL","11748"
"2016","1","BET","-575"
"2016","1","BFL","1264"
"2016","1","BGM","896"
"2016","1","BGR","-29"
"2016","1","BHM","4646"
"2016","1","BIL","-190"
"2016","1","BIS","1844"
"2016","1","BJI","449"
"2016","1","BLI","-397"
"2016","1","BMI","865"
"2016","1","BNA","23469"
"2016","1","BOI","8682"
"2016","1","BOS","64818"
"2016","1","BPT","172"
"2016","1","BQK","555"
"2016","1","BQN","1666"
"2016","1","BRD","1862"
"2016","1","BRO","-46"
"2016","1","BRW","-583"
"2016","1","BTM","-16"
"2016","1","BTR","2744"
"2016","1","BTV","1932"
"2016","1","BUF","11507"
"2016","1","BUR","9885"
"2016","1","BWI","42489"
"2016","1","BZN","1261"
"2016","1","CAE","4124"
"2016","1","CAK","5132"
"2016","1","CDC","85"
"2016","1","CDV","-938"
"2016","1","CHA","3896"
"2016","1","CHO","2517"
"2016","1","CHS","5500"
"2016","1","CID","2288"
"2016","1","CIU","624"
"2016","1","CLE","18140"
"2016","1","CLL","-244"
"2016","1","CLT","60129"
"2016","1","CMH","9528"
"2016","1","CMX","1810"
"2016","1","COD","1749"
"2016","1","COS","5181"
"2016","1","CPR","-129"
"2016","1","CRP","-526"
"2016","1","CRW","1836"
"2016","1","CSG","843"
"2016","1","CVG","8062"
"2016","1","CWA","518"
"2016","1","DAB","1885"
"2016","1","DAL","38612"
"2016","1","DAY","6081"
"2016","1","DCA","33614"
"2016","1","DEN","103578"
"2016","1","DFW","97936"
"2016","1","DHN","1975"
"2016","1","DLH","2408"
"2016","1","DRO","907"
"2016","1","DSM","4495"
"2016","1","DTW","92349"
"2016","1","DVL","317"
"2016","1","EAU","755"
"2016","1","ECP","532"
"2016","1","EGE","3629"
"2016","1","EKO","493"
"2016","1","ELM","1086"
"2016","1","ELP","3800"
"2016","1","ERI","255"
"2016","1","ESC","541"
"2016","1","EUG","4867"
"2016","1","EVV","2426"
"2016","1","EWN","7"
"2016","1","EWR","88586"
"2016","1","EYW","2344"
"2016","1","FAI","-1122"
"2016","1","FAR","7441"
"2016","1","FAT","7481"
"2016","1","FAY","1227"
"2016","1","FCA","838"
"2016","1","FLG","216"
"2016","1","FLL","103004"
"2016","1","FNT","1168"
"2016","1","FSD","2996"
"2016","1","FSM","-73"
"2016","1","FWA","3075"
"2016","1","GCC","-416"
"2016","1","GEG","5142"
"2016","1","GFK","505"
"2016","1","GJT","572"
"2016","1","GNV","1598"
"2016","1","GPT","1432"
"2016","1","GRB","1704"
"2016","1","GRK","-368"
"2016","1","GRR","4757"
"2016","1","GSO","2483"
"2016","1","GSP","2828"
"2016","1","GTF","789"
"2016","1","GTR","1161"
"2016","1","GUC","-4"
"2016","1","GUM","135"
"2016","1","HDN","563"
"2016","1","HIB","2731"
"2016","1","HLN","-168"
"2016","1","HNL","4255"
"2016","1","HOB","34"
"2016","1","HOU","26030"
"2016","1","HPN","4928"
"2016","1","HRL","-16"
"2016","1","HSV","2290"
"2016","1","HYS","319"
"2016","1","IAD","15751"
"2016","1","IAG","2"
"2016","1","IAH","68252"
"2016","1","ICT","3081"
"2016","1","IDA","160"
"2016","1","ILM","1793"
"2016","1","IMT","796"
"2016","1","IND","10231"
"2016","1","INL","930"
"2016","1","ISN","384"
"2016","1","ISP","1395"
"2016","1","ITH","254"
"2016","1","ITO","-1356"
"2016","1","JAC","5482"
"2016","1","JAN","934"
"2016","1","JAX","8050"
"2016","1","JFK","90985"
"2016","1","JLN","449"
"2016","1","JMS","828"
"2016","1","JNU","-270"
"2016","1","KOA","5058"
"2016","1","KTN","-1113"
"2016","1","LAN","2571"
"2016","1","LAR","338"
"2016","1","LAS","116870"
"2016","1","LAW","-299"
"2016","1","LAX","161419"
"2016","1","LBB","-74"
"2016","1","LBE","882"
"2016","1","LCH","-385"
"2016","1","LEX","4372"
"2016","1","LFT","1730"
"2016","1","LGA","77034"
"2016","1","LGB","11888"
"2016","1","LIH","-209"
"2016","1","LIT","2382"
"2016","1","LNK","1299"
"2016","1","LRD","1500"
"2016","1","LSE","391"
"2016","1","LWS","814"
"2016","1","MAF","166"
"2016","1","MBS","2507"
"2016","1","MCI","13859"
"2016","1","MCO","104879"
"2016","1","MDT","1504"
"2016","1","MDW","45864"
"2016","1","MEI","138"
"2016","1","MEM","2287"
"2016","1","MFE","-477"
"2016","1","MFR","2973"
"2016","1","MGM","2916"
"2016","1","MHT","3017"
"2016","1","MIA","91363"
"2016","1","MKE","19460"
"2016","1","MKG","739"
"2016","1","MLB","115"
"2016","1","MLI","2082"
"2016","1","MLU","861"
"2016","1","MMH","257"
"2016","1","MOB","1435"
"2016","1","MOT","1558"
"2016","1","MQT","2350"
"2016","1","MRY","38"
"2016","1","MSN","2078"
"2016","1","MSO","1341"
"2016","1","MSP","71749"
"2016","1","MSY","18526"
"2016","1","MTJ","1058"
"2016","1","MYR","2103"
"2016","1","OAJ","844"
"2016","1","OAK","30609"
"2016","1","OGG","8576"
"2016","1","OKC","1490"
"2016","1","OMA","9026"
"2016","1","OME","-310"
"2016","1","ONT","14015"
"2016","1","ORD","219603"
"2016","1","ORF","6988"
"2016","1","ORH","911"
"2016","1","OTH","372"
"2016","1","OTZ","-369"
"2016","1","PAH","896"
"2016","1","PBG","62"
"2016","1","PBI","33354"
"2016","1","PDX","19388"
"2016","1","PHF","244"
"2016","1","PHL","36065"
"2016","1","PHX","74419"
"2016","1","PIA","2495"
"2016","1","PIB","411"
"2016","1","PIH","37"
"2016","1","PIT","6767"
"2016","1","PLN","991"
"2016","1","PNS","2713"
"2016","1","PPG","-56"
"2016","1","PSC","3123"
"2016","1","PSE","349"
"2016","1","PSG","-867"
"2016","1","PSP","12455"
"2016","1","PVD","6654"
"2016","1","PWM","1980"
"2016","1","RAP","1897"
"2016","1","RDD","680"
"2016","1","RDM","1249"
"2016","1","RDU","15514"
"2016","1","RHI","344"
"2016","1","RIC","7400"
"2016","1","RKS","514"
"2016","1","RNO","8510"
"2016","1","ROA","828"
"2016","1","ROC","1723"
"2016","1","ROW","51"
"2016","1","RST","985"
"2016","1","RSW","31944"
"2016","1","SAF","548"
"2016","1","SAN","46014"
"2016","1","SAT","5640"
"2016","1","SAV","2263"
"2016","1","SBA","5015"
"2016","1","SBN","3810"
"2016","1","SBP","1222"
"2016","1","SCC","-968"
"2016","1","SCE","155"
"2016","1","SDF","7279"
"2016","1","SEA","57156"
"2016","1","SFO","176539"
"2016","1","SGF","1661"
"2016","1","SGU","120"
"2016","1","SHV","1916"
"2016","1","SIT","6"
"2016","1","SJC","19980"
"2016","1","SJU","31336"
"2016","1","SLC","47119"
"2016","1","SMF","25687"
"2016","1","SMX","867"
"2016","1","SNA","15672"
"2016","1","SPI","760"
"2016","1","SRQ","3310"
"2016","1","STL","28379"
"2016","1","STT","6889"
"2016","1","STX","1026"
"2016","1","SUN","1182"
"2016","1","SWF","1321"
"2016","1","SYR","3732"
"2016","1","TLH","2577"
"2016","1","TPA","39871"
"2016","1","TRI","916"
"2016","1","TTN","606"
"2016","1","TUL","2085"
"2016","1","TUS","5863"
"2016","1","TVC","828"
"2016","1","TWF","957"
"2016","1","TXK","84"
"2016","1","TYR","-653"
"2016","1","TYS","2516"
"2016","1","UST","-26"
"2016","1","VLD","1567"
