"year","origin","destination","total","origin_lat","origin_lng","destination_lat","destination_lng"
"2023","LAX","SFO","17721","33.9382","-118.3865","37.6196","-122.3656"
"2023","LAS","LAX","15952","36.0719","-115.1634","33.9382","-118.3865"
"2023","LGA","ORD","15231","40.7794","-73.8803","41.9875","-87.9319"
"2023","BOS","DCA","15171","42.3606","-71.0097","38.8472","-77.0345"
"2023","JFK","LAX","15032","40.6392","-73.7639","33.9382","-118.3865"
"2023","DEN","LAS","14058","39.8466","-104.6562","36.0719","-115.1634"
"2023","DEN","PHX","13805","39.8466","-104.6562","33.4277","-112.0038"
"2023","ATL","MCO","13319","33.6301","-84.4418","28.4183","-81.3241"
"2023","PDX","SEA","13074","45.5958","-122.6092","47.4447","-122.3144"
"2022","LGA","ORD","23321","40.7794","-73.8803","41.9875","-87.9319"
"2022","LAX","SFO","22863","33.9382","-118.3865","37.6196","-122.3656"
"2022","BOS","DCA","22529","42.3606","-71.0097","38.8472","-77.0345"
"2022","LAS","LAX","20975","36.0719","-115.1634","33.9382","-118.3865"
"2022","JFK","LAX","20374","40.6392","-73.7639","33.9382","-118.3865"
"2022","BOS","LGA","17743","42.3606","-71.0097","40.7794","-73.8803"
"2022","PDX","SEA","16384","45.5958","-122.6092","47.4447","-122.3144"
"2022","ATL","LGA","16292","33.6301","-84.4418","40.7794","-73.8803"
"2022","DEN","LAS","16286","39.8466","-104.6562","36.0719","-115.1634"
"2021","LAX","SFO","19189","33.9382","-118.3865","37.6196","-122.3656"
"2021","LAS","LAX","17436","36.0719","-115.1634","33.9382","-118.3865"
"2021","PDX","SEA","15093","45.5958","-122.6092","47.4447","-122.3144"
"2021","DEN","PHX","14783","39.8466","-104.6562","33.4277","-112.0038"
"2021","ATL","FLL","14645","33.6301","-84.4418","26.0787","-80.1622"
"2021","ATL","MCO","14637","33.6301","-84.4418","28.4183","-81.3241"
"2021","JFK","LAX","14480","40.6392","-73.7639","33.9382","-118.3865"
"2021","DEN","SLC","14280","39.8466","-104.6562","40.7707","-111.965"
"2021","LAX","PHX","14142","33.9382","-118.3865","33.4277","-112.0038"
"2020","LAX","SFO","17810","33.9382","-118.3865","37.6196","-122.3656"
"2020","PDX","SEA","15387","45.5958","-122.6092","47.4447","-122.3144"
"2020","LAS","LAX","14706","36.0719","-115.1634","33.9382","-118.3865"
"2020","DEN","PHX","12845","39.8466","-104.6562","33.4277","-112.0038"
"2020","LAX","SEA","12134","33.9382","-118.3865","47.4447","-122.3144"
"2020","ATL","MCO","12032","33.6301","-84.4418","28.4183","-81.3241"
"2020","JFK","LAX","11944","40.6392","-73.7639","33.9382","-118.3865"
"2020","DEN","LAX","11891","39.8466","-104.6562","33.9382","-118.3865"
"2020","LGA","ORD","11785","40.7794","-73.8803","41.9875","-87.9319"
"2019","LAX","SFO","33245","33.9382","-118.3865","37.6196","-122.3656"
"2019","LGA","ORD","29401","40.7794","-73.8803","41.9875","-87.9319"
"2019","LAS","LAX","25927","36.0719","-115.1634","33.9382","-118.3865"
"2019","JFK","LAX","25666","40.6392","-73.7639","33.9382","-118.3865"
"2019","LAX","SEA","20987","33.9382","-118.3865","47.4447","-122.3144"
"2019","BOS","LGA","20612","42.3606","-71.0097","40.7794","-73.8803"
"2019","SEA","SFO","20104","47.4447","-122.3144","37.6196","-122.3656"
"2019","PDX","SEA","19970","45.5958","-122.6092","47.4447","-122.3144"
"2019","ATL","LGA","19032","33.6301","-84.4418","40.7794","-73.8803"
"2018","LGA","ORD","30560","40.7794","-73.8803","41.9875","-87.9319"
"2018","LAX","SFO","30301","33.9382","-118.3865","37.6196","-122.3656"
"2018","JFK","LAX","25581","40.6392","-73.7639","33.9382","-118.3865"
"2018","LAS","LAX","23875","36.0719","-115.1634","33.9382","-118.3865"
"2018","BOS","LGA","20700","42.3606","-71.0097","40.7794","-73.8803"
"2018","ATL","LGA","19218","33.6301","-84.4418","40.7794","-73.8803"
"2018","ATL","MCO","18666","33.6301","-84.4418","28.4183","-81.3241"
"2018","SEA","SFO","18365","47.4447","-122.3144","37.6196","-122.3656"
"2018","LAX","SEA","17789","33.9382","-118.3865","47.4447","-122.3144"
