"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes","delayeddepartedflights","delayedarrivalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2009","9E","Endeavor Air Inc.","241444","1799810","2128290","57006","78151","76.3895561703749110","67.6318318119315452"
"2009","AA","American Airlines Inc.","505921","6446453","6781814","186977","195202","63.0422536324841230","61.4165057390383084"
"2009","AS","Alaska Airlines Inc.","125882","964528","1104685","41053","47608","67.3877123019971084","62.1804547115552660"
"2009","B6","JetBlue Airways","179613","2353680","2596458","58676","66297","67.3319859921052485","63.0889746287852216"
"2009","CO","Continental Air Lines Inc.","237209","2909626","3014141","113676","99397","52.0777036284458010","58.0972897318398543"
"2009","DL","Delta Air Lines Inc.","391348","3771262","4609780","134501","162234","65.6313562353710764","58.5448245551274058"
"2009","EV","ExpressJet Airlines LLC d/b/a aha!","275921","4121884","4663239","103090","128319","62.6378564879077707","53.4942972807434012"
"2009","F9","Frontier Airlines Inc.","79769","748024","881421","31987","36895","59.9004625857162557","53.7476964735674259"
"2009","FL","AirTran Airways Corporation","230531","2839663","3221312","87226","103303","62.1630062768130967","55.1891068880107231"
"2009","HA","Hawaiian Airlines Inc.","66844","200533","292013","12461","19633","81.3580874872838250","70.6286278499192149"
"2009","MQ","Envoy Air","398884","4324209","4857819","136109","153674","65.8775483599241885","61.4740124948606612"
"2009","NW","Northwest Airlines Inc.","270460","2407415","2937939","89476","111901","66.9171041928566147","58.6256747763070325"
"2009","OH","PSA Airlines Inc.","140288","1864357","2386363","37781","66513","73.0689723996350365","52.5882470346715328"
"2009","OO","SkyWest Airlines Inc.","501049","4379528","4889708","143279","177286","71.4041940009859315","64.6170334637929624"
"2009","UA","United Air Lines Inc.","346412","3888023","3927764","108000","109263","68.8232509266422641","68.4586561666454973"
"2009","US","US Airways Inc.","379479","2775578","3710697","105863","141413","72.1030676269306075","62.7349603008335112"
"2009","WN","Southwest Airlines Co.","1039178","10497598","8863794","521086","351229","49.8559438325291721","66.2012667704666573"
"2009","XE","ExpressJet Airlines Inc.","284964","3123351","3658178","80135","106619","71.8789040019090131","62.5850984685784871"
"2009","YV","Mesa Airlines Inc.","223290","2625146","2823025","61120","84003","72.6275247436069685","62.3794169017869139"
"2010","9E","Endeavor Air Inc.","261364","2612886","2908135","76784","93743","70.6218147870402963","64.1331629451645980"
"2010","AA","American Airlines Inc.","540963","5998914","6176587","195478","196541","63.8648114566060895","63.6683100322942604"
"2010","AS","Alaska Airlines Inc.","136950","801096","892509","33598","40454","75.4669587440671778","70.4607520993063162"
"2010","B6","JetBlue Airways","201434","2838949","2935949","76883","77977","61.8321633885044233","61.2890574580259539"
"2010","CO","Continental Air Lines Inc.","239271","2344032","2425284","112784","97521","52.8634895160717346","59.2424489386511529"
"2010","DL","Delta Air Lines Inc.","732973","8663248","9169167","296360","298199","59.5674056206708842","59.3165096122230969"
"2010","EV","ExpressJet Airlines LLC d/b/a aha!","319921","4257756","4167454","99472","103307","68.9073239956114166","67.7085905582940789"
"2010","F9","Frontier Airlines Inc.","81966","775718","847058","32323","34597","60.5653563672742357","57.7910353073225484"
"2010","FL","AirTran Airways Corporation","248844","2279357","2531138","70448","84914","71.6898940701805147","65.8766134606420086"
"2010","HA","Hawaiian Airlines Inc.","67649","226372","306152","14977","22888","77.8607222575352186","66.1665360907034842"
"2010","MQ","Envoy Air","436976","4758426","5303681","150776","171534","65.4955878583720845","60.7452125517190875"
"2010","OH","PSA Airlines Inc.","147633","1752034","2096228","34626","63208","76.5458942106439617","57.1857240589841025"
"2010","OO","SkyWest Airlines Inc.","599620","6363155","6986819","196862","238372","67.1688736199593076","60.2461558987358660"
"2010","UA","United Air Lines Inc.","343081","3073626","2900848","94866","83747","72.3488039267694801","75.5897295390884368"
"2010","US","US Airways Inc.","407111","2751541","3443417","107222","138256","73.6627111524866683","66.0397287226333850"
"2010","WN","Southwest Airlines Co.","1124487","13619327","11507620","630795","455269","43.9037534449042097","59.5131824556442182"
"2010","XE","ExpressJet Airlines Inc.","385077","4214704","4837239","120827","159405","68.6226391085419280","58.6043830194999961"
"2010","YV","Mesa Airlines Inc.","174797","1443166","1622973","37383","59180","78.6134773480094052","66.1435836999490838"
"2011","AA","American Airlines Inc.","490930","5706981","5957149","186523","187722","62.0061923288452529","61.7619619905078117"
"2011","AS","Alaska Airlines Inc.","130395","747587","848218","29624","37465","77.2813374745964186","71.2680700947122206"
"2011","B6","JetBlue Airways","196421","3010713","3264778","75605","83987","61.5086981534560969","57.2413336659522149"
"2011","CO","Continental Air Lines Inc.","223716","2467344","2710643","111111","101551","50.3339054873142735","54.6071805324607985"
"2011","DL","Delta Air Lines Inc.","665434","5921278","6355988","211033","224708","68.2864115750021790","66.2313617879459120"
"2011","EV","ExpressJet Airlines LLC d/b/a aha!","297825","4390156","4446065","98999","112678","66.7593385377318895","62.1663728699739780"
"2011","F9","Frontier Airlines Inc.","77255","796815","858431","33673","34879","56.4131771406381464","54.8521131318361271"
"2011","FL","AirTran Airways Corporation","226038","1702872","1992324","54127","73878","76.0540263141595661","67.3161149895150373"
"2011","HA","Hawaiian Airlines Inc.","60764","221296","268297","13159","18769","78.3440853136725693","69.1116450529919031"
"2011","MQ","Envoy Air","408892","4367822","5012095","125908","155349","69.2075168993279399","62.0073271181632314"
"2011","OO","SkyWest Airlines Inc.","534290","5260691","5838480","166274","205560","68.8794474910629059","61.5265118194239084"
"2011","UA","United Air Lines Inc.","282156","2983356","3136435","92125","93886","67.3496221948142162","66.7254993691433108"
"2011","US","US Airways Inc.","373726","2948345","3715259","112508","142188","69.8955919577444438","61.9539448687005988"
"2011","WN","Southwest Airlines Co.","1053343","12498312","10557934","563439","402684","46.5094465905217958","61.7708571661842344"
"2011","XE","ExpressJet Airlines Inc.","374773","4945936","5490569","122964","153552","67.1897388552537136","59.0279982816264779"
"2011","YV","Mesa Airlines Inc.","142104","1176099","1289070","30269","44270","78.6994032539548500","68.8467601193492090"
"2012","AA","American Airlines Inc.","525220","6437384","6881062","201329","216233","61.6676821141616846","58.8300140893339934"
"2012","AS","Alaska Airlines Inc.","147569","938530","1028648","33664","42425","77.1876207062458918","71.2507369433959707"
"2012","B6","JetBlue Airways","229056","2921653","3006301","77340","81756","66.2353310980720872","64.3074182732606873"
"2012","DL","Delta Air Lines Inc.","726879","5693034","5872419","201988","212049","72.2116060582297741","70.8274692211495999"
"2012","EV","ExpressJet Airlines LLC d/b/a aha!","740855","11064047","10932754","259410","264277","64.9850510558746313","64.3281073894351796"
"2012","F9","Frontier Airlines Inc.","79255","862931","942284","36725","40111","53.6622295123336067","49.3899438521228945"
"2012","FL","AirTran Airways Corporation","218162","1360458","1590516","48515","64948","77.7619383760691596","70.2294625095112806"
"2012","HA","Hawaiian Airlines Inc.","74109","261940","324501","15982","23975","78.4344681482680916","67.6490034948521772"
"2012","MQ","Envoy Air","473140","4577481","4955693","126790","152362","73.2024347973115780","67.7976920150484001"
"2012","OO","SkyWest Airlines Inc.","617756","5932637","6321290","185788","223105","69.9253426919366222","63.8846081624460143"
"2012","UA","United Air Lines Inc.","531245","7580469","7056699","268782","207417","49.4052649907293245","60.9564325311297048"
"2012","US","US Airways Inc.","404263","2355895","2854288","101124","127170","74.9855910632434826","68.5427555823807769"
"2012","VX","Virgin America","54742","679561","681690","19451","18670","64.4678674509517372","65.8945599356983669"
"2012","WN","Southwest Airlines Co.","1140535","11865392","10210724","561154","408054","50.7990548295317548","64.2225797542381426"
"2012","YV","Mesa Airlines Inc.","133976","1037358","1136646","30912","43216","76.9272108437332059","67.7434764435421269"
"2013","9E","Endeavor Air Inc.","296701","3181418","3396102","77220","94678","73.9737985379220158","68.0897603985156774"
"2013","AA","American Airlines Inc.","537891","7081507","7001733","229854","209819","57.2675504888536897","60.9922828230998474"
"2013","AS","Alaska Airlines Inc.","154743","842516","1061449","35407","53385","77.1188357470127889","65.5008627207692755"
"2013","B6","JetBlue Airways","241777","3628665","3884345","92478","102075","61.7507041612725776","57.7813439657204780"
"2013","DL","Delta Air Lines Inc.","754670","7072905","7458635","229079","245558","69.6451429101461566","67.4615394808326818"
"2013","EV","ExpressJet Airlines LLC d/b/a aha!","748696","12389065","12635183","282609","301800","62.2531708463782363","59.6899141974846934"
"2013","F9","Frontier Airlines Inc.","75612","1122201","1253363","36042","40854","52.3329630217425805","45.9688938263767656"
"2013","FL","AirTran Airways Corporation","173952","1932769","2036649","71088","72243","59.1335540838852097","58.4695778145695364"
"2013","HA","Hawaiian Airlines Inc.","72286","248335","315836","14424","22755","80.0459286722186869","68.5208754115596381"
"2013","MQ","Envoy Air","439865","6420388","7093606","159390","186285","63.7638821001898310","57.6495060984620281"
"2013","OO","SkyWest Airlines Inc.","626359","6739829","7265192","186257","234555","70.2635389608834550","62.5526255709585078"
"2013","UA","United Air Lines Inc.","505798","6783383","6373322","232981","183153","53.9379356976500500","63.7892992854855100"
"2013","US","US Airways Inc.","412373","3153235","3976730","120410","157837","70.8007071268002512","61.7247006957293518"
"2013","VX","Virgin America","57133","734037","751988","20629","20062","63.8930215462167224","64.8854427388724555"
"2013","WN","Southwest Airlines Co.","1130704","15038416","13390305","655455","523454","42.0312477889880994","53.7054790643705161"
"2013","YV","Mesa Airlines Inc.","140922","1678892","1878436","42145","57878","70.0933849931167596","58.9290529512780119"
"2014","AA","American Airlines Inc.","537697","7300830","7816373","208549","226439","61.2144014193867550","57.8872487664986042"
"2014","AS","Alaska Airlines Inc.","160257","1024208","1209340","40932","56668","74.4585259926243471","64.6392981273828912"
"2014","B6","JetBlue Airways","249693","3288236","3508340","87498","96776","64.9577681392750297","61.2420051823639429"
"2014","DL","Delta Air Lines Inc.","800375","7605837","7845330","263551","264090","67.0715602061533656","67.0042167733874746"
"2014","EV","ExpressJet Airlines LLC d/b/a aha!","686021","11157312","11550625","252369","277750","63.2126421785922005","59.5129012085635862"
"2014","F9","Frontier Airlines Inc.","85474","1272679","1461018","34268","42698","59.9082762009499965","50.0456279102417109"
"2014","FL","AirTran Airways Corporation","79495","804320","771058","32825","27955","58.7080948487326247","64.8342663060569847"
"2014","HA","Hawaiian Airlines Inc.","74732","257875","352545","15176","25748","79.6927688272761334","65.5462184873949580"
"2014","MQ","Envoy Air","392701","5165378","6168346","142477","179563","63.7187071079523607","54.2748808890224369"
"2014","OO","SkyWest Airlines Inc.","613030","7320110","8019282","194864","250839","68.2129748951927312","59.0821003866042445"
"2014","UA","United Air Lines Inc.","493528","7558204","7058816","252274","199972","48.8835486537744566","59.4811236647160850"
"2014","US","US Airways Inc.","414665","3412254","4053527","125852","155738","69.6497172416287847","62.4424535468390146"
"2014","VX","Virgin America","57510","703575","734325","20460","20810","64.4235785080855503","63.8149886976178056"
"2014","WN","Southwest Airlines Co.","1174633","18587033","17066814","650941","560685","44.5834571308655555","52.2672187823771340"
"2015","AA","American Airlines Inc.","725984","8451818","8611910","245904","252191","66.1281791334244281","65.2621820866575572"
"2015","AS","Alaska Airlines Inc.","172521","1134719","1284997","43566","56953","74.7474220529674648","66.9877869940471015"
