"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes"
"2009","9E","Endeavor Air Inc.","241444","1005961","250240"
"2009","AA","American Airlines Inc.","505921","5188694","3078233"
"2009","AS","Alaska Airlines Inc.","125882","487139","223280"
"2009","B6","JetBlue Airways","179613","1714778","1038455"
"2009","CO","Continental Air Lines Inc.","237209","2416730","1420238"
"2009","DL","Delta Air Lines Inc.","391348","2834105","1900944"
"2009","EV","ExpressJet Airlines LLC d/b/a aha!","275921","3334568","3153319"
"2009","F9","Frontier Airlines Inc.","79769","515683","501184"
"2009","FL","AirTran Airways Corporation","230531","2217212","1958750"
"2009","HA","Hawaiian Airlines Inc.","66844","-69318","23619"
"2009","MQ","Envoy Air","398884","3214378","2481102"
"2009","NW","Northwest Airlines Inc.","270460","1604956","1127361"
"2009","OH","PSA Airlines Inc.","140288","1563484","1519417"
"2009","OO","SkyWest Airlines Inc.","501049","2669152","1749364"
"2009","UA","United Air Lines Inc.","346412","2879198","520861"
"2009","US","US Airways Inc.","379479","1401197","937057"
"2009","WN","Southwest Airlines Co.","1039178","9335205","2033182"
"2009","XE","ExpressJet Airlines Inc.","284964","2114817","1743023"
"2009","YV","Mesa Airlines Inc.","223290","1860632","1423243"
"2010","9E","Endeavor Air Inc.","261364","1844023","978126"
"2010","AA","American Airlines Inc.","540963","4636297","2024867"
"2010","AS","Alaska Airlines Inc.","136950","187557","-322323"
"2010","B6","JetBlue Airways","201434","2273213","1271518"
"2010","CO","Continental Air Lines Inc.","239271","1838401","805069"
"2010","DL","Delta Air Lines Inc.","732973","7103994","3950473"
"2010","EV","ExpressJet Airlines LLC d/b/a aha!","319921","3418593","1429927"
"2010","F9","Frontier Airlines Inc.","81966","538990","379319"
"2010","FL","AirTran Airways Corporation","248844","1486549","727988"
"2010","HA","Hawaiian Airlines Inc.","67649","-18442","57070"
"2010","MQ","Envoy Air","436976","3514268","2628626"
"2010","OH","PSA Airlines Inc.","147633","1382229","1062392"
"2010","OO","SkyWest Airlines Inc.","599620","4498738","3657955"
"2010","UA","United Air Lines Inc.","343081","2055402","-1353965"
"2010","US","US Airways Inc.","407111","1276958","204223"
"2010","WN","Southwest Airlines Co.","1124487","12626259","5320554"
"2010","XE","ExpressJet Airlines Inc.","385077","2935981","2597091"
"2010","YV","Mesa Airlines Inc.","174797","788860","512028"
"2011","AA","American Airlines Inc.","490930","4534767","2466516"
"2011","AS","Alaska Airlines Inc.","130395","140848","-298198"
"2011","B6","JetBlue Airways","196421","2422432","1911719"
"2011","CO","Continental Air Lines Inc.","223716","2038495","1343710"
"2011","DL","Delta Air Lines Inc.","665434","4276312","929183"
"2011","EV","ExpressJet Airlines LLC d/b/a aha!","297825","3564239","2439639"
"2011","F9","Frontier Airlines Inc.","77255","598137","468153"
"2011","FL","AirTran Airways Corporation","226038","867380","395503"
"2011","HA","Hawaiian Airlines Inc.","60764","-8390","11964"
"2011","MQ","Envoy Air","408892","3015600","2386390"
"2011","OO","SkyWest Airlines Inc.","534290","3462958","2570288"
"2011","UA","United Air Lines Inc.","282156","2246935","545166"
"2011","US","US Airways Inc.","373726","1719238","1083473"
"2011","WN","Southwest Airlines Co.","1053343","11439782","4278373"
"2011","XE","ExpressJet Airlines Inc.","374773","3716055","3309946"
"2011","YV","Mesa Airlines Inc.","142104","576426","282215"
"2012","AA","American Airlines Inc.","525220","5134450","3287814"
"2012","AS","Alaska Airlines Inc.","147569","241032","-277597"
"2012","B6","JetBlue Airways","229056","2156461","1097348"
"2012","DL","Delta Air Lines Inc.","726879","3724024","-578532"
"2012","EV","ExpressJet Airlines LLC d/b/a aha!","740855","8734734","5278670"
"2012","F9","Frontier Airlines Inc.","79255","669729","621558"
"2012","FL","AirTran Airways Corporation","218162","514202","-56627"
"2012","HA","Hawaiian Airlines Inc.","74109","-10854","23263"
"2012","MQ","Envoy Air","473140","2818182","1331349"
"2012","OO","SkyWest Airlines Inc.","617756","3780894","2412112"
"2012","UA","United Air Lines Inc.","531245","6659478","2659913"
"2012","US","US Airways Inc.","404263","945057","-496450"
"2012","VX","Virgin America","54742","546770","219291"
"2012","WN","Southwest Airlines Co.","1140535","10541878","3254478"
"2012","YV","Mesa Airlines Inc.","133976","472676","173968"
"2013","9E","Endeavor Air Inc.","296701","2051968","861795"
"2013","AA","American Airlines Inc.","537891","5835185","3107017"
"2013","AS","Alaska Airlines Inc.","154743","97831","-163388"
"2013","B6","JetBlue Airways","241777","2860962","2183156"
"2013","DL","Delta Air Lines Inc.","754670","5135929","1487373"
"2013","EV","ExpressJet Airlines LLC d/b/a aha!","748696","10070337","7679025"
"2013","F9","Frontier Airlines Inc.","75612","932616","966859"
"2013","FL","AirTran Airways Corporation","173952","1479989","986383"
"2013","HA","Hawaiian Airlines Inc.","72286","-50504","1409"
"2013","MQ","Envoy Air","439865","5067962","4547574"
"2013","OO","SkyWest Airlines Inc.","626359","4429572","3396371"
"2013","UA","United Air Lines Inc.","505798","5722639","1877834"
"2013","US","US Airways Inc.","412373","1824832","1165179"
"2013","VX","Virgin America","57133","594736","294250"
"2013","WN","Southwest Airlines Co.","1130704","13963959","8118835"
"2013","YV","Mesa Airlines Inc.","140922","1164117","1114238"
"2014","AA","American Airlines Inc.","537697","5840891","4376735"
"2014","AS","Alaska Airlines Inc.","160257","275397","-47825"
"2014","B6","JetBlue Airways","249693","2452924","1679242"
"2014","DL","Delta Air Lines Inc.","800375","5785654","1837114"
"2014","EV","ExpressJet Airlines LLC d/b/a aha!","686021","9108937","7271462"
"2014","F9","Frontier Airlines Inc.","85474","975984","1092803"
"2014","FL","AirTran Airways Corporation","79495","606078","169419"
"2014","HA","Hawaiian Airlines Inc.","74732","-62476","31132"
"2014","MQ","Envoy Air","392701","4015820","4258256"
"2014","OO","SkyWest Airlines Inc.","613030","5169740","4546459"
"2014","UA","United Air Lines Inc.","493528","6657077","3365165"
"2014","US","US Airways Inc.","414665","2137441","1248028"
"2014","VX","Virgin America","57510","557962","299844"
"2014","WN","Southwest Airlines Co.","1174633","17107487","11483735"
"2015","AA","American Airlines Inc.","725984","6369435","2460604"
"2015","AS","Alaska Airlines Inc.","172521","306997","-167421"
"2015","B6","JetBlue Airways","267048","3026467","1749880"
"2015","DL","Delta Air Lines Inc.","875881","6427294","162527"
"2015","EV","ExpressJet Airlines LLC d/b/a aha!","571977","4857338","3653252"
"2015","F9","Frontier Airlines Inc.","90836","1205449","1126549"
"2015","HA","Hawaiian Airlines Inc.","76272","36972","153838"
"2015","MQ","Envoy Air","294632","2837908","1800397"
"2015","NK","Spirit Air Lines","117379","1840887","1667050"
"2015","OO","SkyWest Airlines Inc.","588353","4517510","3371854"
"2015","UA","United Air Lines Inc.","515723","7355348","2757957"
"2015","US","US Airways Inc.","198715","1196447","719831"
"2015","VX","Virgin America","61903","553852","290175"
"2015","WN","Southwest Airlines Co.","1261855","13186520","5435468"
"2016","AA","American Airlines Inc.","914495","8070267","4583760"
"2016","AS","Alaska Airlines Inc.","177280","69932","-386811"
"2016","B6","JetBlue Airways","282473","3636001","2238722"
"2016","DL","Delta Air Lines Inc.","922746","7292955","-509970"
"2016","EV","ExpressJet Airlines LLC d/b/a aha!","490990","4606418","2597668"
"2016","F9","Frontier Airlines Inc.","95121","1223728","730701"
"2016","HA","Hawaiian Airlines Inc.","76789","-4390","-5561"
"2016","NK","Spirit Air Lines","138199","1677315","1262769"
"2016","OO","SkyWest Airlines Inc.","605933","4492377","2535216"
"2016","UA","United Air Lines Inc.","545067","6143685","944855"
"2016","VX","Virgin America","69121","770149","502033"
